CaseID,TWITTER_USE,VOTED
6,1,2
7,3,3
8,2,3
11,1,2
12,4,3
14,5,1
15,1,3
16,1,3
17,2,3
18,4,3
19,1,2
20,4,3
21,1,3
23,2,3
24,1,3
25,5,3
26,1,1
30,1,3
32,1,3
35,2,3
36,1,2
37,5,3
39,2,3
42,3,3
43,5,1
44,3,1
47,2,3
48,1,3
50,3,1
51,1,3
52,3,1
54,3,3
55,3,1
108,2,3
111,1,3
112,2,1
113,1,3
114,1,3
115,1,3
116,1,3
117,5,3
119,6,3
120,1,3
122,5,3
123,6,3
124,1,3
126,1,3
127,1,3
130,5,3
131,3,3
132,3,3
133,6,1
134,1,3
136,2,3
138,4,1
139,6,3
140,1,3
143,1,3
144,5,3
146,1,3
147,3,3
148,1,3
149,3,3
151,3,3
154,1,3
155,5,3
156,6,3
157,5,3
159,1,2
162,2,3
163,1,3
164,2,3
167,1,1
168,4,3
169,3,3
171,3,3
172,4,3
174,1,2
178,2,3
181,1,3
183,1,3
185,6,3
187,3,3
189,1,1
190,1,3
192,1,1
193,5,1
194,1,3
195,1,3
197,2,3
199,4,3
200,3,3
203,2,3
205,1,3
207,6,2
208,6,3
209,1,3
213,3,3
214,1,3
217,4,3
218,5,1
220,2,3
224,1,3
227,1,3
229,3,1
230,1,3
231,2,3
232,3,1
234,3,3
238,5,1
239,1,3
241,2,3
244,1,1
245,3,3
249,5,1
250,3,1
251,3,3
261,1,3
262,6,1
263,4,3
264,3,3
266,1,3
270,5,3
271,3,1
272,5,3
275,3,3
276,6,3
277,6,3
279,2,3
280,3,3
281,4,3
283,2,3
284,3,3
286,2,3
288,4,3
291,2,3
293,2,1
294,3,3
297,1,3
298,5,3
299,3,3
301,5,3
303,1,3
304,1,3
305,2,1
306,3,3
307,1,3
308,5,3
309,1,3
310,3,3
311,1,3
313,2,3
315,1,3
316,6,2
317,1,3
319,1,3
320,5,3
321,3,3
322,3,3
323,2,3
325,1,3
327,1,3
330,1,3
332,6,3
333,1,1
334,3,3
335,1,1
336,3,1
338,3,3
342,1,3
343,1,3
346,3,3
347,2,3
349,6,3
350,6,3
352,2,3
353,3,3
354,3,3
355,6,3
357,1,2
359,5,3
366,6,1
367,3,3
369,5,3
370,6,1
371,6,3
375,5,3
377,1,3
379,3,3
381,2,3
382,3,3
383,6,3
384,2,3
386,1,3
387,3,3
388,1,3
390,2,1
391,1,1
394,4,3
395,3,3
396,2,3
397,1,3
398,3,3
399,6,3
401,1,3
402,2,3
403,3,3
404,3,3
405,1,3
406,1,1
407,1,3
408,4,3
410,1,3
412,3,3
414,2,3
415,3,1
417,2,2
419,2,3
420,3,3
421,6,3
422,1,3
424,3,3
427,6,3
429,1,1
431,3,1
433,2,3
434,6,3
435,1,3
436,1,3
437,3,2
439,6,3
442,1,3
444,1,2
446,1,3
447,2,1
450,3,3
452,1,3
453,1,3
454,1,3
455,1,3
456,1,3
457,3,3
459,3,3
461,1,3
462,2,3
464,6,3
465,6,3
466,1,3
467,5,3
471,1,2
475,2,3
476,3,3
477,3,3
478,5,3
480,1,3
481,6,3
484,3,3
485,2,3
486,1,3
487,2,3
488,3,3
490,5,3
496,1,1
497,1,2
498,1,3
501,6,1
502,6,3
503,3,3
504,3,3
505,6,3
508,5,3
509,2,3
511,2,3
512,2,3
514,3,3
515,1,3
517,1,3
518,1,3
519,1,3
520,3,3
521,1,3
522,6,3
523,3,3
525,1,3
530,1,3
532,3,3
533,3,3
536,4,2
537,2,3
539,2,3
541,5,2
542,6,3
544,6,3
545,6,3
547,1,3
552,2,1
553,4,3
554,3,3
555,1,3
557,1,3
558,3,4
559,3,3
560,3,3
562,2,3
564,3,3
565,3,3
566,2,3
567,1,3
568,3,2
569,1,3
570,2,3
571,4,3
572,1,3
573,5,1
574,2,3
575,2,3
576,1,3
578,3,3
579,5,3
580,5,3
581,3,3
582,6,3
583,3,3
588,3,3
589,3,3
590,2,3
592,1,3
593,3,3
595,5,2
597,3,2
599,1,3
600,1,2
601,1,3
602,3,3
604,2,3
605,1,1
606,1,3
609,2,3
611,2,2
612,5,3
613,5,3
614,3,3
616,1,3
617,5,1
619,3,3
620,1,3
621,4,3
622,1,2
625,1,3
626,1,1
628,1,1
629,2,3
630,3,3
631,2,3
632,6,3
633,1,3
634,3,3
635,5,3
636,1,3
641,1,3
642,2,3
643,3,3
644,3,3
645,3,3
646,4,3
647,3,3
650,6,3
652,1,3
655,2,2
659,2,3
660,4,3
662,1,3
663,3,3
667,5,3
669,1,3
670,3,3
673,2,3
674,3,3
676,3,1
680,5,3
686,4,3
687,6,2
688,3,3
689,2,3
691,3,3
692,1,3
696,3,1
697,2,3
701,3,3
702,3,3
704,5,1
705,1,1
707,1,3
708,1,3
710,5,3
712,1,3
713,3,3
714,1,3
715,2,3
716,2,3
717,6,3
718,1,3
719,1,3
720,1,3
722,1,3
723,6,3
724,1,3
725,2,3
727,4,3
729,2,3
730,4,3
731,4,3
732,3,3
733,5,3
734,1,3
735,6,3
736,3,3
738,4,3
740,5,3
741,3,3
742,3,3
743,6,1
745,1,3
746,1,3
747,1,3
749,1,3
753,6,3
754,3,1
755,1,1
756,1,3
757,5,3
759,3,3
760,4,3
762,5,3
763,3,3
764,1,3
765,2,3
766,6,3
768,3,3
769,1,3
773,3,3
774,3,3
775,5,3
777,2,3
778,1,3
779,3,3
780,6,3
781,1,3
783,3,3
784,1,3
785,2,3
786,3,3
788,2,3
789,3,3
792,3,1
793,6,3
794,5,3
795,1,3
796,1,3
798,1,3
801,2,3
807,5,3
809,3,1
811,4,3
812,1,3
813,2,3
814,6,3
816,4,2
819,2,3
820,1,3
822,2,1
825,1,3
827,5,3
830,4,3
832,1,3
834,6,3
836,2,3
838,4,3
842,3,2
844,6,3
845,3,3
846,1,3
850,1,3
853,6,3
854,5,3
855,4,3
857,6,3
859,2,3
860,3,3
864,1,3
866,3,3
868,5,1
872,1,3
873,2,3
874,1,1
875,3,3
878,3,3
880,3,3
881,6,1
882,5,3
883,2,3
884,1,3
885,1,3
886,5,3
888,2,3
890,2,3
893,5,3
894,5,3
895,1,3
898,1,3
900,3,3
901,3,3
902,3,3
903,6,3
905,1,3
908,6,1
909,5,3
910,3,3
911,4,3
912,1,3
913,5,3
914,3,3
916,1,3
917,6,3
918,5,3
919,3,3
920,1,3
921,1,1
923,2,2
925,2,3
926,3,3
928,1,3
929,6,3
935,5,3
936,2,3
937,1,3
938,3,3
939,1,3
941,6,2
942,2,3
943,1,1
944,6,3
946,3,3
951,6,3
954,2,3
956,3,3
958,1,3
960,3,3
962,1,3
963,1,3
964,3,3
965,6,3
967,2,3
968,5,3
969,5,3
970,1,3
971,6,3
972,3,3
975,3,1
976,2,3
978,3,3
983,1,3
985,2,3
986,5,3
987,3,3
989,5,3
991,1,3
993,1,3
994,2,3
996,3,1
997,1,3
998,3,3
1000,2,3
1002,1,3
1003,6,3
1009,3,3
1010,4,3
1011,1,3
1012,4,3
1015,6,3
1016,5,3
1017,2,2
1018,3,3
1022,3,3
1023,1,3
1024,1,3
1025,1,3
1026,1,3
1027,6,3
1029,3,3
1030,5,3
1032,5,3
1036,6,3
1037,6,2
1038,1,1
1039,1,3
1040,1,3
1042,2,3
1043,1,3
1045,5,3
1047,1,3
1048,3,4
1051,6,3
1052,1,3
1055,2,3
1056,1,3
1057,3,3
1060,6,1
1064,5,3
1068,3,1
1070,1,3
1071,2,4
1072,2,1
1073,5,1
1076,1,3
1077,3,3
1078,6,3
1079,1,2
1080,1,3
1084,3,1
1087,5,3
1089,1,3
1090,1,3
1092,3,3
1096,3,3
1097,1,3
1098,6,3
1101,3,2
1102,5,3
1104,2,3
1105,1,1
1108,4,2
1109,3,1
1110,2,3
1112,4,3
1115,3,3
1116,1,3
1118,3,3
1122,2,3
1123,3,3
1124,1,3
1127,2,1
1128,6,3
1130,1,3
1131,6,1
1133,1,3
1134,6,2
1135,6,3
1136,4,3
1137,6,4
1138,6,3
1140,1,3
1141,1,3
1143,6,3
1144,3,3
1145,1,3
1146,3,3
1150,1,2
1152,1,3
1153,6,3
1154,3,3
1155,1,3
1156,2,1
1157,3,3
1158,1,3
1160,2,3
1162,4,3
1164,3,3
1165,1,3
1166,3,3
1167,4,3
1169,1,3
1172,2,3
1175,6,3
1179,1,3
1182,6,3
1183,3,3
1184,1,3
1185,6,3
1186,1,3
1187,1,3
1188,5,3
1190,6,1
1192,3,3
1194,5,2
1198,3,3
1199,6,3
1200,6,3
1201,1,3
1202,1,3
1204,5,3
1207,1,3
1208,1,3
1209,4,3
1210,5,3
1211,2,3
1212,5,1
1213,1,3
1214,3,2
1216,1,3
1218,1,3
1220,4,3
1223,5,3
1224,1,3
1226,5,3
1227,6,3
1228,2,3
1229,5,3
1232,3,3
1235,6,3
1242,3,3
1245,1,3
1246,3,3
1247,1,3
1248,6,3
1249,1,3
1250,1,3
1251,6,3
1252,5,3
1254,2,3
1255,5,3
1257,6,3
1259,4,3
1260,2,2
1261,1,3
1263,2,3
1265,3,4
1267,1,3
1268,1,3
1269,5,1
1270,3,3
1271,3,1
1273,1,3
1274,1,3
1275,3,3
1277,3,3
1278,3,3
1280,1,3
1284,3,3
1285,4,3
1286,1,2
1287,1,1
1290,6,3
1292,1,3
1293,4,3
1294,1,3
1300,3,3
1301,1,3
1303,3,3
1307,3,1
1308,1,3
1309,1,3
1312,3,3
1313,6,3
1314,5,3
1315,4,3
1316,1,3
1317,1,3
1320,1,3
1322,1,3
1323,6,3
1324,3,3
1326,1,3
1327,1,3
1328,3,3
1329,3,3
1330,3,1
1331,2,3
1336,3,3
1337,1,3
1338,1,3
1339,3,3
1340,1,3
1341,1,3
1342,1,3
1343,5,1
1344,5,3
1345,1,3
1346,5,3
1347,1,2
1349,5,3
1350,5,3
1351,5,3
1353,1,3
1354,2,3
1355,2,3
1356,2,3
1357,6,2
1358,2,3
1362,6,3
1363,1,3
1364,3,3
1365,3,3
1366,1,3
1368,3,3
1369,1,3
1370,3,3
1373,5,3
1374,1,3
1375,1,3
1377,1,3
1378,2,3
1380,6,3
1382,3,3
1384,2,3
1385,1,1
1386,1,3
1387,1,1
1388,3,3
1389,3,3
1393,4,4
1399,1,3
1400,5,3
1401,5,3
1403,1,3
1404,5,3
1406,1,3
1407,2,3
1408,1,2
1412,1,3
1415,5,3
1419,2,1
1420,2,3
1421,3,1
1422,3,3
1425,5,3
1428,1,3
1429,1,3
1430,4,3
1431,5,3
1435,3,3
1436,2,3
1437,3,2
1438,1,3
1439,3,3
1442,2,3
1443,5,3
1444,3,3
1448,1,3
1449,2,3
1456,1,3
1459,1,3
1460,6,3
1461,2,1
1462,6,1
1463,2,3
1464,5,3
1466,3,3
1468,2,3
1472,1,3
1474,2,3
1476,1,3
1479,3,3
1480,2,3
1481,6,1
1482,3,3
1483,1,3
1484,3,3
1486,3,3
1487,1,3
1489,5,3
1490,1,3
1491,5,3
1492,3,3
1493,3,3
1495,1,3
1496,1,3
1499,3,3
1501,6,3
1502,3,3
1503,1,3
1504,2,3
1508,2,3
1509,1,1
1510,4,3
1512,5,1
1513,6,3
1516,5,3
1517,5,3
1519,1,3
1521,1,3
1522,5,3
1523,5,3
1524,6,3
1525,3,3
1526,3,4
1527,3,3
1528,2,3
1529,1,3
1531,3,3
1533,4,3
1535,2,3
1536,5,3
1537,1,3
1538,6,2
1539,5,3
1540,3,3
1542,5,2
1543,5,2
1545,5,3
1547,3,3
1548,3,3
1549,3,3
1550,3,3
1551,3,3
1552,6,3
1554,3,3
1557,5,3
1559,5,3
1561,2,3
1563,1,1
1564,2,1
1565,1,1
1567,2,1
1569,6,3
1572,1,3
1574,1,3
1576,2,2
1579,1,3
1580,1,3
1582,3,3
1583,6,3
1584,5,1
1585,3,3
1586,5,3
1588,5,1
1589,5,3
1591,6,3
1592,5,3
1593,6,3
1594,4,3
1595,3,3
1596,2,3
1599,1,3
1602,2,3
1603,1,3
1604,5,3
1607,1,3
1608,5,3
1611,1,1
1612,2,1
1613,6,3
1617,6,3
1618,6,1
1619,1,3
1620,1,3
1621,1,3
1623,1,2
1625,3,1
1627,5,3
1629,1,3
1635,2,3
1636,3,1
1637,1,3
1641,3,3
1648,1,3
1649,2,3
1650,6,1
1651,2,3
1653,6,1
1655,1,3
1656,6,3
1657,5,3
1658,1,3
1659,1,3
1660,1,3
1661,5,3
1662,2,3
1663,5,3
1664,2,1
1665,5,3
1666,3,3
1667,2,3
1668,3,3
1670,3,3
1671,3,2
1672,5,3
1673,2,3
1674,1,3
1676,1,3
1677,2,3
1678,2,1
1679,3,1
1681,2,3
1682,1,3
1683,2,3
1687,1,2
1690,2,3
1691,6,3
1693,1,3
1694,3,3
1697,1,3
1699,5,2
1703,2,3
1706,1,1
1707,3,3
1709,1,3
1710,4,3
1711,1,2
1717,5,1
1718,2,3
1719,2,3
1720,2,3
1722,5,3
1723,3,3
1725,5,3
1727,1,2
1730,5,3
1732,3,3
1733,1,3
1734,2,3
1737,3,3
1739,1,3
1741,3,3
1742,2,1
1744,5,3
1746,6,3
1747,1,1
1749,1,2
1751,7,4
1754,3,3
1755,5,2
1756,1,3
1757,1,3
1758,4,3
1761,3,3
1762,2,3
1763,4,3
1767,2,3
1769,2,2
1771,1,3
1772,5,3
1775,6,3
1777,3,3
1779,2,3
1781,3,3
1782,5,3
1783,3,3
1784,6,3
1787,3,3
1788,3,3
1793,4,3
1797,5,3
1800,2,3
1801,6,3
1804,6,3
1805,5,3
1806,5,3
1807,3,3
1808,3,2
1809,3,3
1810,3,1
1811,4,3
1812,4,3
1815,1,3
1816,3,3
1817,3,3
1818,2,3
1823,2,3
1825,6,1
1826,4,2
1827,2,3
1828,2,3
1831,4,1
1836,3,3
1837,1,2
1838,6,3
1840,3,3
1848,6,3
1850,5,3
1851,1,3
1855,3,3
1857,3,3
1858,2,3
1859,1,3
1860,4,3
1863,5,1
1864,5,3
1866,5,3
1867,1,3
1868,3,3
1869,1,1
1874,5,3
1875,2,2
1877,3,3
1879,1,2
1882,1,3
1884,2,3
1889,1,1
1895,5,3
1896,2,3
1897,1,3
1899,2,3
1900,1,3
1901,1,3
1902,4,3
1903,2,3
1904,6,3
1905,3,4
1906,3,3
1908,1,3
1909,1,3
1915,3,3
1916,2,3
1917,1,3
1918,2,3
1919,1,2
1920,1,3
1921,4,3
1923,1,1
1925,1,3
1928,3,3
1929,1,1
1931,5,3
1932,2,3
1934,5,3
1935,3,3
1936,6,3
1937,3,3
1938,1,3
1939,3,1
1940,1,2
1941,2,2
1943,4,3
1947,3,3
1949,1,3
1950,6,3
1952,3,3
1953,2,3
1956,3,3
1959,4,3
1960,5,3
1962,3,3
1964,4,3
1966,5,3
1967,1,3
1968,2,3
1969,1,1
1971,5,3
1973,1,3
1982,2,1
1983,3,3
1984,1,3
1985,2,3
1986,5,3
1988,1,3
1990,2,3
1991,1,3
1992,4,3
1993,3,3
1994,2,3
1995,6,3
1998,1,3
2001,6,3
2003,3,3
2005,1,3
2009,4,3
2010,3,3
2011,1,1
2013,1,3
2014,5,3
2016,2,3
2018,1,1
2020,4,1
2024,3,3
2025,1,3
2026,1,3
2029,3,3
2030,3,1
2031,6,1
2033,1,3
2034,6,3
2035,3,3
2036,2,3
2038,1,3
2040,3,1
2041,1,3
2042,2,3
2043,2,2
2046,3,1
2050,6,1
2054,2,1
2055,5,3
2056,5,3
2057,6,3
2058,1,3
2060,1,3
2061,6,3
2064,1,3
2065,5,3
2068,6,3
2069,5,1
2070,1,3
2073,5,3
2074,1,3
2075,1,3
2077,5,1
2078,6,3
2079,1,3
2080,4,3
2081,5,3
2085,3,3
2087,5,3
2089,3,3
2090,5,3
2091,1,3
2092,1,3
2093,2,1
2097,6,3
2099,2,3
2100,1,3
2102,3,3
2103,4,3
2104,3,3
2105,1,3
2106,3,3
2109,3,3
2110,2,3
2115,1,3
2117,2,3
2118,6,3
2119,1,3
2121,5,3
2122,5,3
2123,3,2
2124,3,1
2126,2,3
2127,3,2
2129,3,3
2133,2,3
2134,1,3
2135,1,2
2136,3,3
2137,3,3
2138,1,3
2139,5,3
2141,2,3
2142,5,1
2144,3,2
2148,5,3
2149,5,3
2151,3,1
2152,5,1
2155,2,3
2156,1,3
2157,1,3
2159,4,3
2161,6,2
2163,2,3
2164,2,3
2165,6,3
2167,6,3
2168,1,3
2169,1,3
2171,4,3
2172,1,3
2173,1,3
2176,1,2
2179,1,3
2180,1,3
2182,2,3
2183,2,1
2185,3,3
2186,3,3
2188,1,3
2189,1,3
2191,6,3
2195,5,3
2198,1,3
2200,2,3
2201,6,3
2205,3,3
2210,1,3
2211,5,3
2213,1,3
2215,1,1
2216,1,3
2220,3,3
2221,2,3
2222,1,3
2224,2,1
2225,1,3
2228,2,1
2230,1,3
2237,1,3
2239,1,3
2240,4,3
2241,1,4
2242,4,3
2248,4,3
2249,1,1
2250,4,3
2251,1,1
2255,6,3
2256,3,3
2259,6,3
2264,4,3
2265,5,3
2266,5,1
2267,3,3
2268,5,3
2269,3,3
2270,6,3
2271,3,3
2272,1,1
2277,1,2
2278,4,3
2279,2,3
2280,4,2
2282,1,3
2283,1,3
2287,3,3
2288,1,3
2292,2,3
2294,3,3
2296,1,2
2298,3,3
2301,1,3
2304,5,2
2305,3,3
2306,4,3
2307,1,3
2309,1,3
2310,6,3
2313,4,4
2314,2,3
2317,1,3
2318,1,3
2319,1,3
2321,6,1
2323,2,1
2328,1,3
2329,4,3
2330,3,3
2332,1,3
2333,6,3
2334,2,3
2337,2,3
2338,6,2
2339,3,3
2340,2,3
2341,3,3
2342,1,3
2347,2,3
2349,1,3
2350,6,3
2352,5,3
2353,1,1
2355,5,3
2357,2,3
2359,1,1
2360,1,3
2361,1,4
2363,2,3
2365,2,3
2366,6,3
2370,3,3
2371,6,3
2372,3,3
2373,5,3
2375,3,3
2376,3,3
2377,6,3
2378,5,3
2379,1,3
2381,1,3
2382,3,3
2384,1,3
2388,3,3
2389,3,2
2391,1,3
2393,1,2
2394,6,3
2398,1,3
2399,3,3
2400,5,3
2401,1,1
2402,3,3
2405,6,3
2407,1,3
2408,2,1
2410,6,3
2412,5,3
2414,1,3
2415,6,1
2424,1,3
2425,1,3
2427,6,1
2429,3,3
2430,5,3
2433,3,3
2434,1,3
2435,1,1
2436,3,3
2437,1,3
2438,5,3
2439,1,3
2440,1,3
2442,1,2
2443,1,3
2444,3,3
2445,3,3
2446,3,3
2448,4,3
2452,4,3
2453,1,3
2454,4,3
2457,3,1
2460,5,3
2464,5,3
2465,1,1
2466,1,3
2467,2,3
2468,6,3
2470,5,3
2471,2,3
2476,1,3
2478,2,3
2479,3,3
2481,2,3
2482,5,3
2486,3,3
2487,5,3
2488,3,3
2489,2,1
2490,1,1
2491,5,3
