APRIL,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
Friday,04/01/2022,90,7:22:00,18.00%,21.00%,98.00%,9:49pm - 6:01am
Saturday,04/02/2022,89,8:40:00,21.00%,21.00%,73.00%,9:50pm - 7:26am
Sunday,04/03/2022,81,8:52:00,21.00%,17.00%,26.00%,11:29pm - 9:54am
Monday,04/04/2022,83,6:50:00,17.00%,19.00%,99.00%,10:12pm - 5:49am
Tuesday,04/05/2022,84,6:57:00,18.00%,21.00%,97.00%,9:45pm - 5:43am
Wednesday,04/06/2022,83,7:27:00,17.00%,19.00%,77.00%,9:22pm - 6:14am
Thursday,04/07/2022,87,7:57:00,22.00%,14.00%,68.00%,10:05pm - 6:55am
Friday,04/08/2022,83,7:27:00,19.00%,18.00%,71.00%,9:42pm - 6:36am
Saturday,04/09/2022,87,8:12:00,19.00%,15.00%,71.00%,11:27pm - 8:36am
Sunday,04/10/2022,83,6:57:00,15.00%,18.00%,96.00%,12:53am - 8:39am
Monday,04/11/2022,88,7:39:00,17.00%,19.00%,98.00%,9:35pm - 6:02am
Tuesday,04/12/2022,86,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am
Wednesday,04/13/2022,82,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am
Thursday,04/14/2022,83,7:19:00,19.00%,23.00%,77.00%,9:35pm - 5:58am
Friday,04/15/2022,82,8:04:00,17.00%,19.00%,57.00%,11:37pm - 8:52am
Saturday,04/16/2022,90,9:39:00,21.00%,17.00%,96.00%,9:43pm - 8:35am
Sunday,04/17/2022,91,7:32:00,24.00%,14.00%,99.00%,10:50pm - 7:21am
Monday,04/18/2022,89,7:59:00,17.00%,18.00%,95.00%,10:14pm - 7:04am
Tuesday,04/19/2022,82,7:59:00,15.00%,17.00%,45.00%,10:04pm - 7:08am
Wednesday,04/20/2022,75,6:54:00,20.00%,15.00%,9.00%,12:37am - 8:42am
Thursday,04/21/2022,93,7:59:00,22.00%,24.00%,99.00%,10:36pm - 7:37am
Friday,04/22/2022,87,7:44:00,19.00%,8.00%,88.00%,9:00pm - 5:54am
Saturday,04/23/2022,79,7:55:00,8.00%,12.00%,57.00%,10:10pm - 7:22am
Sunday,04/24/2022,81,8:17:00,13.00%,15.00%,64.00%,12:10am - 9:46am
Monday,04/25/2022,84,7:39:00,16.00%,20.00%,70.00%,9:52pm - 6:55am
Tuesday,04/26/2022,85,7:18:00,22.00%,14.00%,100.00%,9:32pm - 6:00am
Wednesday,04/27/2022,90,7:34:00,24.00%,19.00%,98.00%,9:19pm - 5:49am
Thursday,04/28/2022,87,6:54:00,21.00%,22.00%,90.00%,10:02pm - 5:46am
Friday,04/29/2022,86,7:45:00,19.00%,17.00%,95.00%,10:15pm - 7:24am
Saturday,04/30/2022,89,7:11:00,22.00%,18.00%,75.00%,11:08pm - 7:04am